episode,cluster,tsne_x,tsne_y
episode35,1,3.148251,-3.1588397
episode26,1,2.5018497,-3.531084
episode36,2,2.1570432,-3.4543145
episode22,0,3.329665,-3.293834
episode21,1,3.0837493,-2.1909332
episode18,0,3.261454,-3.3613763
episode33,1,2.915599,-2.5105846
episode3,2,1.5236381,-2.6890686
episode10,2,1.6240515,-2.7114906
episode24,1,2.6748652,-2.5937579
episode19,0,3.631357,-2.5023603
episode41,1,1.2254909,-3.3949208
episode11,1,3.2054877,-2.5497742
episode14,1,3.021741,-2.0749986
episode31,1,2.4014218,-3.3150263
episode30,1,2.5794268,-2.3919377
episode34,1,3.5059845,-2.578598
episode100,2,2.0943108,-2.3783154
episode38,1,1.219475,-3.3540342
episode39,1,1.2932137,-3.4540186
episode27,1,2.5998266,-3.1690762
episode15,0,3.0525384,-2.0889642
episode17,0,3.1127222,-3.6725264
episode20,0,3.5073924,-3.109077
episode40,1,1.2218815,-3.3949091
episode23,0,2.5403032,-3.4420664
episode29,0,2.8689704,-3.5438435
episode16,0,3.4831264,-2.7517214
episode28,1,3.0579977,-2.350273
episode37,1,1.2122846,-3.38592
episode32,1,3.5468686,-2.5970616
episode12,0,3.4607298,-3.1014316
episode25,1,2.9186819,-2.791298
episode2,2,1.5695502,-2.538162
episode13,0,3.1285737,-3.1082425
episode4,2,1.9439945,-2.1731603
episode1,2,1.5249158,-2.5487866
