episode,cluster,tsne_x,tsne_y
episode_27,0,-1.1293002,3.9219363
episode_25,6,-1.9435083,4.6326985
episode_12,401,2.814897,2.1638887
episode_15,401,0.44098604,1.923198
episode_10,401,0.1851858,1.6196162
episode_94,9,0.58521825,-4.8018146
episode_49,0,-0.7433095,6.023326
episode_8,401,0.11490855,2.6833012
episode_63,0,-0.65885395,4.5469866
episode_73,201,3.1397784,-8.037364
episode_38,101,4.8836384,5.813536
episode_79,700,2.5475063,-6.9103756
episode_47,100,5.7884955,3.6301389
episode_50,100,4.9958405,3.4393451
episode_101,701,3.3920588,-5.705093
episode_77,700,3.5449896,-7.2248683
episode_44,101,4.4402957,4.722073
episode_59,5,1.7521678,7.304411
episode_102,700,4.68617,-6.76131
episode_56,5,0.3682478,7.5192447
episode_83,8,3.6039295,-8.909343
episode_97,701,3.6637888,-5.7562356
episode_28,0,3.7115276,7.492694
episode_23,3,-3.8907893,3.7067647
episode_11,400,1.426591,2.6397185
episode_5,3,-2.121362,1.4887158
episode_75,200,-0.073190905,-5.4612656
episode_18,401,3.2988486,2.1051533
episode_88,201,0.70329523,-6.5659122
episode_82,9,-1.5419939,-6.5287566
episode_60,101,5.2611685,4.2894654
episode_3,3,-3.01359,1.1974255
episode_92,701,2.5746598,-7.883541
episode_71,8,1.1963665,-8.379609
episode_90,201,1.6579266,-7.4492073
episode_35,101,3.6576006,5.7803802
episode_32,0,-2.2026615,6.8184757
episode_54,5,0.6962821,8.593598
episode_69,9,-1.458345,-6.428127
episode_61,1,-2.1345308,7.3966627
episode_89,201,1.5114421,-6.774494
episode_30,101,4.826547,5.8734283
episode_21,3,-2.7858317,2.8587253
episode_68,8,4.785175,-9.421444
episode_19,3,-2.3534663,2.518273
episode_34,0,-1.5360765,6.1131845
episode_2,3,-4.076059,1.6932805
episode_93,9,2.071683,-5.445978
episode_55,5,-0.21336918,6.2087717
episode_53,5,0.3081135,7.6075015
episode_95,701,4.313465,-5.8435144
episode_29,0,3.4299307,7.1812673
episode_9,401,1.666781,1.9291831
episode_17,401,1.4784971,1.2957364
episode_67,201,1.2672526,-9.091053
episode_70,9,-1.2459117,-6.307016
episode_85,201,0.28002858,-7.5598516
episode_48,0,1.9060285,4.9102683
episode_41,5,0.5662778,4.974331
episode_64,100,6.0853367,4.048809
episode_86,701,4.065311,-6.8872643
episode_42,6,1.551377,6.968006
episode_57,5,0.6487331,8.955386
episode_62,100,5.9659853,3.923995
episode_100,700,5.5028334,-7.2508254
episode_4,3,-3.3258605,1.4204582
episode_72,700,4.1218166,-8.025619
episode_31,101,4.7745137,7.114965
episode_36,0,-1.7916396,4.773345
episode_37,6,1.2069991,6.536558
episode_33,101,4.828712,6.9360714
episode_81,8,4.8382726,-8.539463
episode_52,5,0.72670084,7.914491
episode_87,9,-0.68524307,-7.3079453
episode_98,9,0.2360211,-4.4980893
episode_84,701,2.1546836,-8.5738325
episode_16,401,1.0159067,1.617158
episode_7,400,1.4757477,3.0162568
episode_14,401,1.7752229,1.9896892
episode_74,701,2.799616,-9.266214
episode_24,0,3.030518,0.9390001
episode_58,101,4.317911,4.3135357
episode_78,201,1.5501072,-7.821306
episode_103,201,1.4840587,-5.6062403
episode_13,401,-0.45939192,2.0426083
episode_96,200,1.6395462,-4.8255444
episode_91,701,2.806725,-6.243915
episode_1,3,-3.3362331,1.2709743
episode_22,3,-3.9491131,3.724993
episode_99,9,-0.02563789,-4.353448
episode_6,400,2.24068,3.0212502
episode_20,3,-2.4379594,2.6197894
episode_51,5,0.12623683,9.25187
episode_39,101,4.263823,5.8326135
episode_80,8,4.2907906,-8.78898
episode_46,101,2.0515685,4.8900223
episode_40,101,5.8042,6.4880896
episode_66,200,-1.5852585,-5.5222692
episode_65,201,0.961368,-6.948995
episode_45,1,-1.273121,7.3854384
