episode,cluster,tsne_x,tsne_y
episode35,101,-0.8481915,9.383442
episode26,101,-1.4982506,9.068133
episode36,101,-1.7415648,9.718045
episode58,0,-2.6762993,6.929621
episode21,301,-2.869632,8.9909725
episode65,200,-0.51164013,9.023804
episode5,301,-2.6715796,7.7811465
episode47,200,-0.16582668,8.882808
episode62,0,-2.7317257,6.686715
episode61,0,-2.7726936,6.6945624
episode3,301,-2.1561189,7.7261815
episode46,101,-1.7433755,8.655465
episode24,101,-1.5799857,9.735747
episode41,100,-0.98393404,8.006195
episode7,301,-3.218679,7.637223
episode50,200,-0.74809784,9.459491
episode51,201,-0.2509758,8.418963
episode14,201,-2.5271556,9.419749
episode31,100,-1.3462355,7.3026056
episode52,201,-0.37329948,8.002016
episode100,200,-0.61830866,9.232279
episode71,200,-0.2747617,8.093225
episode39,201,-0.9460689,7.4293637
episode59,0,-2.277322,6.848337
episode27,101,-2.0587027,8.876226
episode15,301,-3.165884,8.494527
episode74,201,-0.9237566,7.200778
episode20,101,-2.1621294,9.492548
episode42,201,-0.8648855,8.202159
episode29,300,-2.3556464,8.323272
episode16,300,-3.062907,8.353477
episode44,201,-0.76966685,8.477781
episode60,0,-2.8864822,6.7750854
episode45,201,-0.8601587,7.8281503
episode63,0,-2.6422627,6.7975492
episode66,200,-1.0973294,8.242402
episode32,101,-1.6147956,9.552426
episode12,301,-3.2956622,7.507854
episode76,201,-0.8332466,7.328937
episode25,101,-1.5254542,9.158216
episode2,301,-3.3128343,7.7923093
episode13,101,-2.2209644,9.513885
episode4,100,-1.6774971,7.764302
episode6,301,-3.1920917,7.889967
episode1,301,-2.667062,7.8524284
